,Solvent
0,O
2,ClC(Cl)Cl
3,CC#N
4,CS(C)=O
5,C1CCCCC1
6,CCOC(C)=O
8,CCO
9,OCC(O)CO
32,CO
35,[2H]O[2H]
46,CC(C)O
51,CCCO
56,CCCCO
61,CCCCCCO
66,CCCCCCCCO
84,c1ccccc1
85,CCN(CC)CC
86,Clc1ccccc1
87,CC(C)=O
88,OCCO
111,Cc1ccccc1
116,CCCCCC
117,ClC(Cl)(Cl)Cl
118,C1COCCO1
119,ClCCl
148,C1CCOC1
255,NC=O
259,OCC(F)(F)F
265,[2H]OC([2H])([2H])C(F)(F)F
278,CCCCOCCCC
279,CCOCC
280,CCCC#N
281,CN(C)C=O
282,CC1COC(=O)O1
283,CCCCCCCCCCO
285,CCCCCO
291,OC(C(F)(F)F)C(F)(F)F
292,[2H]OC
293,[2H]OCC
294,CCCCOC(C)=O
334,CCCCCCCCCC
384,CC(=O)C(C)(C)C
410,CCCCCCC
727,Cc1ccc(C)cc1
743,CCCCl
744,CCC#N
748,CCCCCCCl
798,CC1CCCCC1
805,COC(C)=O
1077,CCCCCCCC
1322,O=c1oc2ccccc2cc1-c1cn2ccccc2n1
1323,CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1
1324,CCN(CC)c1ccc2cc(-c3cn4cc(C)ccc4n3)c(=O)oc2c1
1325,CCN(CC)c1ccc2cc(-c3cn4cc5ccccc5cc4n3)c(=O)oc2c1
1548,COc1ccc(/C=C(\C#N)c2nc(-c3ccc(OC)cc3)cs2)cc1
1549,COc1ccc(/C=C(\C#N)c2nc(-c3ccc(Cl)cc3)cs2)cc1
1550,COc1ccc(-c2csc(/C(C#N)=C/c3ccc(Cl)cc3)n2)cc1
1551,N#C/C(=C\c1ccc(Cl)cc1)c1nc(-c2ccccc2)cs1
1552,COc1ccc(-c2csc(/C(C#N)=C/c3ccc(C(F)(F)F)cc3)n2)cc1
1553,N#C/C(=C\c1ccc(C(F)(F)F)cc1)c1nc(-c2ccc(Cl)cc2)cs1
1554,COc1ccc(-c2csc(/C(C#N)=C/c3ccc(C#N)cc3)n2)cc1
1555,N#C/C(=C\c1ccc(C#N)cc1)c1nc(-c2ccccc2)cs1
1556,N#C/C(=C\c1ccc(C#N)cc1)c1nc(-c2ccc(Cl)cc2)cs1
1557,COc1ccc(-c2csc(/C(C#N)=C/c3ccc([N+](=O)[O-])cc3)n2)cc1
1558,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)c1nc(-c2ccccc2)cs1
1559,COc1ccc(-c2csc(/C(C#N)=C/c3ccncc3)n2)cc1
1560,N#C/C(=C\c1ccncc1)c1nc(-c2ccccc2)cs1
1561,N#C/C(=C\c1ccncc1)c1nc(-c2ccc(Cl)cc2)cs1
1562,COc1ccc(-c2csc(/C(C#N)=C/c3ccccc3Cl)n2)cc1
1563,COc1ccc(-c2csc(/C(C#N)=C/c3ccc(Cl)cc3Cl)n2)cc1
1564,COc1ccc(-c2csc(/C(C#N)=C/c3c(Cl)cccc3Cl)n2)cc1
1565,COc1ccc(-c2nc(/C(C#N)=C/c3ccc(Cl)cc3)sc2-c2ccc(OC)cc2)cc1
1566,N#C/C(=C\c1ccc(Cl)cc1)c1nc(-c2ccccc2)c(-c2ccccc2)s1
1567,COc1ccc(-c2nc(/C(C#N)=C/c3ccc(C#N)cc3)sc2-c2ccc(OC)cc2)cc1
1568,N#C/C(=C\c1ccc(C#N)cc1)c1nc(-c2ccccc2)c(-c2ccccc2)s1
1569,Cc1ccc(-c2sc(/C(C#N)=C/c3ccc(C#N)cc3)nc2-c2ccc(Cl)cc2)cc1
1570,N#C/C(=C\c1ccc(C#N)cc1)c1nc(-c2ccc(Cl)cc2)c(-c2ccccc2)s1
1689,c1ccncc1
1691,OCCOCCO
1978,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1
